camera_id,vehicle_no,timestamp,cars_in_parking
1,MHUN7063,2024-09-12 05:00:00,1
1,MHMY1867,2024-09-12 05:00:00,2
1,MHZF8417,2024-09-12 05:00:00,3
1,MHFU6425,2024-09-12 05:00:00,4
1,MHHB4038,2024-09-12 05:00:00,5
1,MHDS3083,2024-09-12 05:00:00,6
1,MHBL2555,2024-09-12 05:00:00,7
1,MHNG3009,2024-09-12 05:00:00,8
1,MHYM2116,2024-09-12 05:00:00,9
1,MHRP7066,2024-09-12 05:00:00,10
1,MHGH6189,2024-09-12 05:00:00,11
1,MHBD3420,2024-09-12 05:00:00,12
1,MHBR3603,2024-09-12 05:00:00,13
1,MHVR9603,2024-09-12 05:00:00,14
1,MHEL6595,2024-09-12 05:00:00,15
1,MHNQ2590,2024-09-12 05:00:00,16
1,MHYN4677,2024-09-12 05:00:00,17
1,MHJU1350,2024-09-12 05:00:00,18
1,MHYN8096,2024-09-12 05:00:00,19
1,MHZI0593,2024-09-12 05:00:00,20
1,MHGS9163,2024-09-12 05:00:00,21
1,MHVE9824,2024-09-12 05:20:00,22
1,MHTL4076,2024-09-12 05:20:00,23
1,MHTL7625,2024-09-12 05:20:00,24
1,MHLQ6139,2024-09-12 05:20:00,25
1,MHEF2418,2024-09-12 05:20:00,26
1,MHIM2035,2024-09-12 05:20:00,27
1,MHHG0235,2024-09-12 05:20:00,28
1,MHRZ4847,2024-09-12 05:20:00,29
1,MHEB8784,2024-09-12 05:20:00,30
1,MHQS8540,2024-09-12 05:20:00,31
1,MHQL6440,2024-09-12 05:20:00,32
1,MHGR7572,2024-09-12 05:20:00,33
1,MHZO3666,2024-09-12 05:20:00,34
1,MHKU7664,2024-09-12 05:20:00,35
1,MHCF5028,2024-09-12 05:20:00,36
1,MHUC0067,2024-09-12 05:20:00,37
1,MHKZ3897,2024-09-12 05:20:00,38
1,MHVK9930,2024-09-12 05:20:00,39
1,MHQO3976,2024-09-12 05:20:00,40
1,MHOH7914,2024-09-12 05:40:00,41
1,MHJR1821,2024-09-12 05:40:00,42
1,MHMP0749,2024-09-12 05:40:00,43
1,MHXR3898,2024-09-12 05:40:00,44
1,MHSD2030,2024-09-12 05:40:00,45
1,MHSM3247,2024-09-12 05:40:00,46
1,MHZU4672,2024-09-12 05:40:00,47
1,MHYY0186,2024-09-12 05:40:00,48
1,MHTY9437,2024-09-12 05:40:00,49
1,MHVL5571,2024-09-12 05:40:00,50
1,MHOO4226,2024-09-12 05:40:00,51
1,MHDW7472,2024-09-12 05:40:00,52
1,MHCC8728,2024-09-12 05:40:00,53
1,MHLH0376,2024-09-12 06:00:00,54
1,MHOR9005,2024-09-12 06:00:00,55
1,MHHG2164,2024-09-12 06:00:00,56
1,MHHH3648,2024-09-12 06:00:00,57
1,MHLQ6075,2024-09-12 06:00:00,58
1,MHYC6161,2024-09-12 06:00:00,59
1,MHQV6401,2024-09-12 06:00:00,60
1,MHCI1421,2024-09-12 06:00:00,61
1,MHJO6901,2024-09-12 06:00:00,62
1,MHPF8631,2024-09-12 06:00:00,63
1,MHJS1517,2024-09-12 06:00:00,64
1,MHCH6928,2024-09-12 06:00:00,65
1,MHRP2887,2024-09-12 06:00:00,66
1,MHVQ3908,2024-09-12 06:00:00,67
1,MHZV2825,2024-09-12 06:00:00,68
1,MHCG2142,2024-09-12 06:00:00,69
1,MHAW3156,2024-09-12 06:00:00,70
1,MHBJ1079,2024-09-12 06:00:00,71
1,MHDK7513,2024-09-12 06:00:00,72
1,MHZL7215,2024-09-12 06:00:00,73
1,MHLH1934,2024-09-12 06:00:00,74
1,MHFW4210,2024-09-12 06:00:00,75
1,MHFL0999,2024-09-12 06:20:00,76
1,MHUY5910,2024-09-12 06:20:00,77
1,MHEL8689,2024-09-12 06:20:00,78
1,MHFJ3134,2024-09-12 06:20:00,79
1,MHWD9972,2024-09-12 06:20:00,80
1,MHXR6927,2024-09-12 06:20:00,81
1,MHBC9992,2024-09-12 06:20:00,82
1,MHLC7841,2024-09-12 06:20:00,83
1,MHNN3859,2024-09-12 06:20:00,84
1,MHGD1595,2024-09-12 06:20:00,85
1,MHFB7793,2024-09-12 06:20:00,86
1,MHUV0612,2024-09-12 06:20:00,87
1,MHMP8132,2024-09-12 06:20:00,88
1,MHFL0449,2024-09-12 06:20:00,89
1,MHSM2916,2024-09-12 06:20:00,90
1,MHYT5853,2024-09-12 06:20:00,91
1,MHNO7430,2024-09-12 06:20:00,92
1,MHXN0045,2024-09-12 06:20:00,93
1,MHCT4587,2024-09-12 06:20:00,94
1,MHLR9186,2024-09-12 06:20:00,95
1,MHAP2971,2024-09-12 06:20:00,96
1,MHNF2856,2024-09-12 06:20:00,97
1,MHQS2979,2024-09-12 06:40:00,98
1,MHWE1029,2024-09-12 06:40:00,99
1,MHKU8781,2024-09-12 06:40:00,100
1,MHGW6086,2024-09-12 06:40:00,101
1,MHEE8734,2024-09-12 06:40:00,102
1,MHCH4054,2024-09-12 06:40:00,103
1,MHWK2542,2024-09-12 06:40:00,104
1,MHSX5443,2024-09-12 06:40:00,105
1,MHJN5130,2024-09-12 06:40:00,106
1,MHVW9654,2024-09-12 06:40:00,107
1,MHRU1776,2024-09-12 06:40:00,108
1,MHWC0720,2024-09-12 06:40:00,109
1,MHHX0605,2024-09-12 06:40:00,110
1,MHWU6758,2024-09-12 06:40:00,111
1,MHZI2479,2024-09-12 06:40:00,112
1,MHKY5934,2024-09-12 06:40:00,113
1,MHSM3502,2024-09-12 06:40:00,114
1,MHSM4102,2024-09-12 07:00:00,115
1,MHBK6246,2024-09-12 07:00:00,116
1,MHYH3112,2024-09-12 07:00:00,117
1,MHGD2741,2024-09-12 07:00:00,118
1,MHRR2109,2024-09-12 07:00:00,119
1,MHFH1036,2024-09-12 07:00:00,120
1,MHUS7027,2024-09-12 07:00:00,121
1,MHEM3359,2024-09-12 07:00:00,122
1,MHOG6928,2024-09-12 07:00:00,123
1,MHZQ8024,2024-09-12 07:00:00,124
1,MHAB7611,2024-09-12 07:00:00,125
1,MHHT0994,2024-09-12 07:00:00,126
1,MHRJ9496,2024-09-12 07:00:00,127
1,MHYM8747,2024-09-12 07:00:00,128
1,MHML5248,2024-09-12 07:00:00,129
1,MHXQ1475,2024-09-12 07:00:00,130
1,MHKC7922,2024-09-12 07:00:00,131
1,MHEQ8938,2024-09-12 07:00:00,132
1,MHKM3373,2024-09-12 07:00:00,133
1,MHUF8609,2024-09-12 07:00:00,134
1,MHLG6211,2024-09-12 07:00:00,135
1,MHXL1217,2024-09-12 07:00:00,136
1,MHLA7136,2024-09-12 07:00:00,137
1,MHGN6262,2024-09-12 07:00:00,138
1,MHYW9005,2024-09-12 07:20:00,139
1,MHUZ0801,2024-09-12 07:20:00,140
1,MHNF8418,2024-09-12 07:20:00,141
1,MHYD3447,2024-09-12 07:20:00,142
1,MHNW6691,2024-09-12 07:20:00,143
1,MHXB5183,2024-09-12 07:20:00,144
1,MHMZ7718,2024-09-12 07:20:00,145
1,MHDK2600,2024-09-12 07:20:00,146
1,MHIU4415,2024-09-12 07:20:00,147
1,MHOP2483,2024-09-12 07:20:00,148
1,MHJM5123,2024-09-12 07:20:00,149
1,MHOM1097,2024-09-12 07:20:00,150
1,MHGU8316,2024-09-12 07:20:00,151
1,MHOA9639,2024-09-12 07:20:00,152
1,MHOG9016,2024-09-12 07:20:00,153
1,MHZQ4466,2024-09-12 07:20:00,154
1,MHNS7193,2024-09-12 07:20:00,155
1,MHGP1551,2024-09-12 07:20:00,156
1,MHPP6633,2024-09-12 07:20:00,157
1,MHOU0717,2024-09-12 07:20:00,158
1,MHKU2055,2024-09-12 07:20:00,159
1,MHSW2530,2024-09-12 07:40:00,160
1,MHKS0804,2024-09-12 07:40:00,161
1,MHDO7283,2024-09-12 07:40:00,162
1,MHCC3383,2024-09-12 07:40:00,163
1,MHRL0171,2024-09-12 07:40:00,164
1,MHBQ2663,2024-09-12 07:40:00,165
1,MHOB1836,2024-09-12 07:40:00,166
1,MHPW0685,2024-09-12 07:40:00,167
1,MHSN1434,2024-09-12 07:40:00,168
1,MHYV7355,2024-09-12 07:40:00,169
1,MHTN8071,2024-09-12 07:40:00,170
1,MHXK1151,2024-09-12 07:40:00,171
1,MHDZ8814,2024-09-12 07:40:00,172
1,MHIX2609,2024-09-12 07:40:00,173
1,MHCY9841,2024-09-12 07:40:00,174
1,MHEH4566,2024-09-12 07:40:00,175
1,MHNP6414,2024-09-12 07:40:00,176
1,MHLI4038,2024-09-12 07:40:00,177
1,MHDB8557,2024-09-12 07:40:00,178
1,MHTZ6862,2024-09-12 08:00:00,179
1,MHBQ1294,2024-09-12 08:00:00,180
1,MHMA5579,2024-09-12 08:00:00,181
1,MHVY6905,2024-09-12 08:00:00,182
1,MHLN7673,2024-09-12 08:00:00,183
2,MHGS9163,2024-09-12 08:00:00,182
1,MHBC4944,2024-09-12 08:00:00,183
1,MHLF3244,2024-09-12 08:00:00,184
1,MHUM5208,2024-09-12 08:00:00,185
1,MHJO9014,2024-09-12 08:00:00,186
1,MHUL2615,2024-09-12 08:00:00,187
1,MHBC2251,2024-09-12 08:00:00,188
1,MHHG0653,2024-09-12 08:00:00,189
1,MHST5010,2024-09-12 08:00:00,190
1,MHII3846,2024-09-12 08:00:00,191
2,MHYN4677,2024-09-12 08:00:00,190
1,MHLC6612,2024-09-12 08:00:00,191
2,MHEL6595,2024-09-12 08:00:00,190
1,MHQZ4559,2024-09-12 08:00:00,191
1,MHAJ2918,2024-09-12 08:00:00,192
1,MHQU3766,2024-09-12 08:00:00,193
1,MHBD4560,2024-09-12 08:00:00,194
2,MHUN7063,2024-09-12 08:00:00,193
1,MHPM8655,2024-09-12 08:00:00,194
1,MHEA3859,2024-09-12 08:00:00,195
1,MHVL2086,2024-09-12 08:00:00,196
1,MHLC2700,2024-09-12 08:20:00,197
2,MHGH6189,2024-09-12 08:20:00,196
